# 220 - Driftmark.txt
is_city = yes

owner = A43
controller = A43
add_core = A43

base_tax = 4
base_production = 4
base_manpower = 1

culture = men_of_the_crownlands
religion = faith_of_the_seven

trade_goods = copper

106.1.1 = {
    owner = CRW
    controller = CRW
    add_core = CRW
}

283.1.1 = {
    remove_core = CRW
    add_core = A39
    controller = A39
    owner = A39
    religion = rhllor
}

304.1.1 = {
    remove_core = A39
    add_core = DAE
    controller = DAE
    owner = DAE
    culture = followers_of_daenerys
    religion = faith_of_the_seven
}
